year,city,avg_temp
1743,Berlin,6.33
1744,Berlin,10.36
1745,Berlin,1.43
1746,Berlin,
1747,Berlin,
1748,Berlin,
1749,Berlin,
1750,Berlin,9.83
1751,Berlin,9.75
1752,Berlin,4.84
1753,Berlin,8.72
1754,Berlin,8.49
1755,Berlin,8.26
1756,Berlin,9.62
1757,Berlin,9.15
1758,Berlin,8.25
1759,Berlin,9.04
1760,Berlin,8.99
1761,Berlin,9.47
1762,Berlin,8.53
1763,Berlin,8.62
1764,Berlin,8.91
1765,Berlin,8.54
1766,Berlin,8.87
1767,Berlin,8.14
1768,Berlin,8.03
1769,Berlin,8.46
1770,Berlin,8.50
1771,Berlin,7.45
1772,Berlin,9.13
1773,Berlin,9.52
1774,Berlin,8.46
1775,Berlin,10.10
1776,Berlin,8.36
1777,Berlin,8.29
1778,Berlin,9.43
1779,Berlin,10.47
1780,Berlin,8.78
1781,Berlin,9.98
1782,Berlin,8.61
1783,Berlin,9.76
1784,Berlin,7.67
1785,Berlin,7.42
1786,Berlin,7.68
1787,Berlin,9.27
1788,Berlin,8.33
1789,Berlin,8.99
1790,Berlin,9.09
1791,Berlin,9.55
1792,Berlin,8.90
1793,Berlin,9.18
1794,Berlin,10.02
1795,Berlin,8.87
1796,Berlin,9.01
1797,Berlin,10.07
1798,Berlin,9.33
1799,Berlin,6.72
1800,Berlin,8.60
1801,Berlin,9.61
1802,Berlin,9.08
1803,Berlin,8.02
1804,Berlin,8.36
1805,Berlin,7.20
1806,Berlin,9.67
1807,Berlin,9.42
1808,Berlin,8.15
1809,Berlin,8.66
1810,Berlin,8.46
1811,Berlin,9.93
1812,Berlin,7.35
1813,Berlin,8.66
1814,Berlin,7.46
1815,Berlin,8.38
1816,Berlin,7.75
1817,Berlin,8.92
1818,Berlin,9.00
1819,Berlin,9.43
1820,Berlin,7.86
1821,Berlin,9.15
1822,Berlin,10.05
1823,Berlin,8.26
1824,Berlin,9.61
1825,Berlin,9.32
1826,Berlin,9.35
1827,Berlin,8.99
1828,Berlin,8.94
1829,Berlin,6.52
1830,Berlin,8.08
1831,Berlin,8.93
1832,Berlin,8.34
1833,Berlin,8.89
1834,Berlin,10.40
1835,Berlin,8.81
1836,Berlin,8.88
1837,Berlin,8.12
1838,Berlin,6.98
1839,Berlin,8.63
1840,Berlin,7.74
1841,Berlin,9.06
1842,Berlin,8.51
1843,Berlin,9.18
1844,Berlin,7.85
1845,Berlin,7.92
1846,Berlin,9.84
1847,Berlin,8.24
1848,Berlin,8.75
1849,Berlin,8.03
1850,Berlin,8.20
1851,Berlin,8.50
1852,Berlin,9.54
1853,Berlin,7.55
1854,Berlin,8.69
1855,Berlin,7.07
1856,Berlin,8.50
1857,Berlin,9.39
1858,Berlin,7.97
1859,Berlin,9.60
1860,Berlin,8.00
1861,Berlin,8.87
1862,Berlin,8.91
1863,Berlin,9.81
1864,Berlin,6.99
1865,Berlin,8.88
1866,Berlin,9.44
1867,Berlin,8.41
1868,Berlin,10.24
1869,Berlin,9.06
1870,Berlin,7.57
1871,Berlin,7.08
1872,Berlin,9.97
1873,Berlin,9.27
1874,Berlin,9.08
1875,Berlin,8.04
1876,Berlin,8.64
1877,Berlin,8.95
1878,Berlin,9.38
1879,Berlin,7.46
1880,Berlin,9.08
1881,Berlin,7.75
1882,Berlin,9.28
1883,Berlin,8.54
1884,Berlin,9.20
1885,Berlin,8.47
1886,Berlin,8.55
1887,Berlin,7.93
1888,Berlin,7.61
1889,Berlin,8.34
1890,Berlin,8.35
1891,Berlin,8.48
1892,Berlin,8.28
1893,Berlin,8.50
1894,Berlin,8.96
1895,Berlin,8.28
1896,Berlin,8.57
1897,Berlin,8.69
1898,Berlin,9.42
1899,Berlin,8.96
1900,Berlin,9.16
1901,Berlin,8.58
1902,Berlin,7.63
1903,Berlin,9.28
1904,Berlin,9.15
1905,Berlin,8.90
1906,Berlin,9.31
1907,Berlin,8.52
1908,Berlin,8.35
1909,Berlin,8.16
1910,Berlin,9.33
1911,Berlin,9.89
1912,Berlin,8.49
1913,Berlin,9.41
1914,Berlin,9.50
1915,Berlin,8.56
1916,Berlin,9.30
1917,Berlin,8.39
1918,Berlin,9.42
1919,Berlin,8.00
1920,Berlin,9.37
1921,Berlin,9.78
1922,Berlin,7.76
1923,Berlin,8.58
1924,Berlin,8.30
1925,Berlin,9.32
1926,Berlin,9.57
1927,Berlin,8.72
1928,Berlin,8.92
1929,Berlin,7.99
1930,Berlin,9.48
1931,Berlin,8.35
1932,Berlin,9.23
1933,Berlin,8.32
1934,Berlin,10.69
1935,Berlin,9.34
1936,Berlin,9.30
1937,Berlin,9.41
1938,Berlin,9.77
1939,Berlin,9.32
1940,Berlin,7.04
1941,Berlin,7.62
1942,Berlin,7.80
1943,Berlin,9.67
1944,Berlin,9.31
1945,Berlin,9.64
1946,Berlin,9.12
1947,Berlin,8.79
1948,Berlin,9.96
1949,Berlin,10.04
1950,Berlin,9.37
1951,Berlin,9.72
1952,Berlin,8.61
1953,Berlin,10.13
1954,Berlin,8.41
1955,Berlin,8.36
1956,Berlin,7.57
1957,Berlin,9.46
1958,Berlin,9.05
1959,Berlin,9.88
1960,Berlin,9.22
1961,Berlin,9.81
1962,Berlin,8.13
1963,Berlin,8.12
1964,Berlin,8.84
1965,Berlin,8.33
1966,Berlin,9.34
1967,Berlin,10.08
1968,Berlin,9.28
1969,Berlin,8.43
1970,Berlin,8.43
1971,Berlin,9.54
1972,Berlin,8.88
1973,Berlin,9.24
1974,Berlin,9.89
1975,Berlin,10.08
1976,Berlin,9.15
1977,Berlin,9.54
1978,Berlin,8.86
1979,Berlin,8.53
1980,Berlin,8.26
1981,Berlin,9.18
1982,Berlin,10.08
1983,Berlin,10.21
1984,Berlin,8.94
1985,Berlin,8.46
1986,Berlin,8.78
1987,Berlin,8.09
1988,Berlin,10.02
1989,Berlin,10.72
1990,Berlin,10.71
1991,Berlin,9.36
1992,Berlin,10.38
1993,Berlin,9.34
1994,Berlin,10.43
1995,Berlin,9.75
1996,Berlin,7.88
1997,Berlin,9.73
1998,Berlin,10.05
1999,Berlin,10.58
2000,Berlin,10.96
2001,Berlin,9.69
2002,Berlin,10.26
2003,Berlin,10.07
2004,Berlin,9.82
2005,Berlin,9.92
2006,Berlin,10.55
2007,Berlin,10.88
2008,Berlin,10.66
2009,Berlin,10.06
2010,Berlin,8.61
2011,Berlin,10.56
2012,Berlin,9.96
2013,Berlin,10.12
1743,Hamburg,6.23
1744,Hamburg,9.63
1745,Hamburg,1.25
1746,Hamburg,
1747,Hamburg,
1748,Hamburg,
1749,Hamburg,
1750,Hamburg,9.31
1751,Hamburg,8.94
1752,Hamburg,4.65
1753,Hamburg,8.12
1754,Hamburg,7.88
1755,Hamburg,7.69
1756,Hamburg,8.64
1757,Hamburg,8.48
1758,Hamburg,7.76
1759,Hamburg,8.69
1760,Hamburg,8.36
1761,Hamburg,8.86
1762,Hamburg,7.81
1763,Hamburg,7.80
1764,Hamburg,8.25
1765,Hamburg,7.91
1766,Hamburg,8.27
1767,Hamburg,7.59
1768,Hamburg,7.64
1769,Hamburg,7.97
1770,Hamburg,7.98
1771,Hamburg,7.10
1772,Hamburg,8.26
1773,Hamburg,8.94
1774,Hamburg,7.76
1775,Hamburg,9.27
1776,Hamburg,8.00
1777,Hamburg,7.79
1778,Hamburg,8.68
1779,Hamburg,9.91
1780,Hamburg,8.27
1781,Hamburg,9.32
1782,Hamburg,7.67
1783,Hamburg,9.08
1784,Hamburg,6.92
1785,Hamburg,7.02
1786,Hamburg,7.06
1787,Hamburg,8.50
1788,Hamburg,7.82
1789,Hamburg,8.29
1790,Hamburg,8.48
1791,Hamburg,8.79
1792,Hamburg,8.32
1793,Hamburg,8.51
1794,Hamburg,9.24
1795,Hamburg,8.04
1796,Hamburg,8.46
1797,Hamburg,9.16
1798,Hamburg,8.83
1799,Hamburg,6.31
1800,Hamburg,7.90
1801,Hamburg,8.80
1802,Hamburg,8.21
1803,Hamburg,7.39
1804,Hamburg,7.79
1805,Hamburg,6.72
1806,Hamburg,8.78
1807,Hamburg,8.44
1808,Hamburg,7.70
1809,Hamburg,7.91
1810,Hamburg,7.76
1811,Hamburg,9.25
1812,Hamburg,6.91
1813,Hamburg,8.16
1814,Hamburg,6.88
1815,Hamburg,7.90
1816,Hamburg,7.06
1817,Hamburg,8.22
1818,Hamburg,8.59
1819,Hamburg,8.87
1820,Hamburg,7.30
1821,Hamburg,8.47
1822,Hamburg,9.50
1823,Hamburg,7.65
1824,Hamburg,8.89
1825,Hamburg,8.85
1826,Hamburg,9.04
1827,Hamburg,8.25
1828,Hamburg,8.52
1829,Hamburg,6.06
1830,Hamburg,7.42
1831,Hamburg,8.74
1832,Hamburg,7.97
1833,Hamburg,8.31
1834,Hamburg,9.79
1835,Hamburg,8.32
1836,Hamburg,8.15
1837,Hamburg,7.61
1838,Hamburg,6.54
1839,Hamburg,7.87
1840,Hamburg,7.29
1841,Hamburg,8.25
1842,Hamburg,8.44
1843,Hamburg,8.49
1844,Hamburg,7.18
1845,Hamburg,7.24
1846,Hamburg,9.45
1847,Hamburg,7.85
1848,Hamburg,8.25
1849,Hamburg,7.50
1850,Hamburg,7.67
1851,Hamburg,8.02
1852,Hamburg,8.84
1853,Hamburg,6.90
1854,Hamburg,8.21
1855,Hamburg,6.38
1856,Hamburg,7.66
1857,Hamburg,8.93
1858,Hamburg,7.72
1859,Hamburg,9.10
1860,Hamburg,7.27
1861,Hamburg,8.36
1862,Hamburg,8.43
1863,Hamburg,9.09
1864,Hamburg,6.75
1865,Hamburg,8.34
1866,Hamburg,8.76
1867,Hamburg,7.69
1868,Hamburg,9.57
1869,Hamburg,8.23
1870,Hamburg,7.25
1871,Hamburg,6.83
1872,Hamburg,9.26
1873,Hamburg,8.61
1874,Hamburg,8.47
1875,Hamburg,7.86
1876,Hamburg,7.99
1877,Hamburg,8.11
1878,Hamburg,8.71
1879,Hamburg,6.61
1880,Hamburg,8.44
1881,Hamburg,7.09
1882,Hamburg,8.73
1883,Hamburg,8.15
1884,Hamburg,8.89
1885,Hamburg,7.78
1886,Hamburg,7.98
1887,Hamburg,7.41
1888,Hamburg,6.95
1889,Hamburg,7.91
1890,Hamburg,7.76
1891,Hamburg,7.79
1892,Hamburg,7.44
1893,Hamburg,8.05
1894,Hamburg,8.52
1895,Hamburg,7.59
1896,Hamburg,8.21
1897,Hamburg,8.14
1898,Hamburg,8.69
1899,Hamburg,8.52
1900,Hamburg,8.53
1901,Hamburg,8.04
1902,Hamburg,7.15
1903,Hamburg,8.67
1904,Hamburg,8.47
1905,Hamburg,8.26
1906,Hamburg,8.73
1907,Hamburg,7.91
1908,Hamburg,8.01
1909,Hamburg,7.52
1910,Hamburg,8.92
1911,Hamburg,9.36
1912,Hamburg,8.14
1913,Hamburg,8.92
1914,Hamburg,9.21
1915,Hamburg,7.78
1916,Hamburg,8.37
1917,Hamburg,7.81
1918,Hamburg,8.60
1919,Hamburg,7.32
1920,Hamburg,8.73
1921,Hamburg,9.21
1922,Hamburg,7.27
1923,Hamburg,7.78
1924,Hamburg,7.75
1925,Hamburg,8.67
1926,Hamburg,8.85
1927,Hamburg,8.13
1928,Hamburg,8.32
1929,Hamburg,7.34
1930,Hamburg,8.94
1931,Hamburg,7.91
1932,Hamburg,8.82
1933,Hamburg,8.31
1934,Hamburg,9.96
1935,Hamburg,8.85
1936,Hamburg,8.70
1937,Hamburg,8.77
1938,Hamburg,9.37
1939,Hamburg,8.87
1940,Hamburg,6.67
1941,Hamburg,7.25
1942,Hamburg,7.14
1943,Hamburg,9.10
1944,Hamburg,8.78
1945,Hamburg,9.25
1946,Hamburg,8.47
1947,Hamburg,8.24
1948,Hamburg,9.35
1949,Hamburg,9.48
1950,Hamburg,8.77
1951,Hamburg,8.91
1952,Hamburg,7.93
1953,Hamburg,9.34
1954,Hamburg,7.98
1955,Hamburg,7.96
1956,Hamburg,7.29
1957,Hamburg,8.92
1958,Hamburg,8.39
1959,Hamburg,9.36
1960,Hamburg,8.63
1961,Hamburg,9.16
1962,Hamburg,7.54
1963,Hamburg,7.30
1964,Hamburg,8.23
1965,Hamburg,7.84
1966,Hamburg,8.46
1967,Hamburg,9.38
1968,Hamburg,8.67
1969,Hamburg,8.09
1970,Hamburg,7.91
1971,Hamburg,8.92
1972,Hamburg,8.30
1973,Hamburg,8.80
1974,Hamburg,9.21
1975,Hamburg,9.44
1976,Hamburg,8.72
1977,Hamburg,8.93
1978,Hamburg,8.27
1979,Hamburg,7.63
1980,Hamburg,8.00
1981,Hamburg,8.40
1982,Hamburg,9.09
1983,Hamburg,9.41
1984,Hamburg,8.44
1985,Hamburg,7.66
1986,Hamburg,8.09
1987,Hamburg,7.55
1988,Hamburg,9.35
1989,Hamburg,9.93
1990,Hamburg,10.08
1991,Hamburg,8.79
1992,Hamburg,9.84
1993,Hamburg,8.57
1994,Hamburg,9.73
1995,Hamburg,9.16
1996,Hamburg,7.42
1997,Hamburg,9.27
1998,Hamburg,9.31
1999,Hamburg,10.02
2000,Hamburg,10.12
2001,Hamburg,9.19
2002,Hamburg,9.86
2003,Hamburg,9.48
2004,Hamburg,9.48
2005,Hamburg,9.58
2006,Hamburg,10.15
2007,Hamburg,10.37
2008,Hamburg,10.04
2009,Hamburg,9.61
2010,Hamburg,7.97
2011,Hamburg,9.73
2012,Hamburg,9.20
2013,Hamburg,9.17
1743,Munich,1.32
1744,Munich,6.09
1745,Munich,-2.15
1746,Munich,
1747,Munich,
1748,Munich,
1749,Munich,
1750,Munich,5.40
1751,Munich,5.54
1752,Munich,0.53
1753,Munich,4.61
1754,Munich,4.33
1755,Munich,4.05
1756,Munich,4.64
1757,Munich,4.30
1758,Munich,3.83
1759,Munich,4.89
1760,Munich,5.02
1761,Munich,4.94
1762,Munich,4.49
1763,Munich,4.25
1764,Munich,4.82
1765,Munich,4.52
1766,Munich,4.28
1767,Munich,3.85
1768,Munich,3.84
1769,Munich,4.43
1770,Munich,4.36
1771,Munich,4.19
1772,Munich,5.81
1773,Munich,4.76
1774,Munich,4.43
1775,Munich,5.03
1776,Munich,4.21
1777,Munich,4.28
1778,Munich,5.21
1779,Munich,5.53
1780,Munich,4.71
1781,Munich,5.48
1782,Munich,3.96
1783,Munich,5.22
1784,Munich,3.67
1785,Munich,3.35
1786,Munich,3.71
1787,Munich,4.83
1788,Munich,4.69
1789,Munich,4.26
1790,Munich,4.91
1791,Munich,5.09
1792,Munich,4.77
1793,Munich,5.06
1794,Munich,5.54
1795,Munich,4.59
1796,Munich,4.65
1797,Munich,5.55
1798,Munich,4.81
1799,Munich,3.26
1800,Munich,5.02
1801,Munich,5.31
1802,Munich,5.07
1803,Munich,4.20
1804,Munich,4.80
1805,Munich,3.09
1806,Munich,5.40
1807,Munich,5.05
1808,Munich,3.58
1809,Munich,4.61
1810,Munich,4.72
1811,Munich,5.70
1812,Munich,3.39
1813,Munich,3.87
1814,Munich,3.46
1815,Munich,4.01
1816,Munich,2.96
1817,Munich,4.21
1818,Munich,4.66
1819,Munich,4.97
1820,Munich,3.88
1821,Munich,4.59
1822,Munich,5.85
1823,Munich,4.22
1824,Munich,4.89
1825,Munich,5.07
1826,Munich,4.81
1827,Munich,4.71
1828,Munich,5.02
1829,Munich,2.79
1830,Munich,3.90
1831,Munich,4.82
1832,Munich,4.25
1833,Munich,4.45
1834,Munich,5.72
1835,Munich,4.07
1836,Munich,4.40
1837,Munich,3.68
1838,Munich,3.29
1839,Munich,4.66
1840,Munich,3.66
1841,Munich,5.16
1842,Munich,4.09
1843,Munich,4.48
1844,Munich,4.03
1845,Munich,3.73
1846,Munich,5.54
1847,Munich,3.90
1848,Munich,4.61
1849,Munich,4.37
1850,Munich,3.84
1851,Munich,3.66
1852,Munich,5.02
1853,Munich,3.69
1854,Munich,4.08
1855,Munich,3.52
1856,Munich,4.30
1857,Munich,4.41
1858,Munich,3.63
1859,Munich,5.07
1860,Munich,3.41
1861,Munich,4.62
1862,Munich,5.39
1863,Munich,5.35
1864,Munich,3.26
1865,Munich,4.75
1866,Munich,5.01
1867,Munich,4.44
1868,Munich,5.54
1869,Munich,4.69
1870,Munich,3.57
1871,Munich,3.53
1872,Munich,5.51
1873,Munich,4.77
1874,Munich,4.18
1875,Munich,3.96
1876,Munich,4.64
1877,Munich,4.79
1878,Munich,4.26
1879,Munich,3.53
1880,Munich,4.74
1881,Munich,4.24
1882,Munich,4.58
1883,Munich,4.16
1884,Munich,4.67
1885,Munich,4.47
1886,Munich,4.61
1887,Munich,3.41
1888,Munich,3.69
1889,Munich,3.72
1890,Munich,3.67
1891,Munich,3.70
1892,Munich,4.45
1893,Munich,4.44
1894,Munich,4.52
1895,Munich,4.00
1896,Munich,3.84
1897,Munich,4.67
1898,Munich,5.13
1899,Munich,4.72
1900,Munich,5.00
1901,Munich,4.01
1902,Munich,4.24
1903,Munich,4.57
1904,Munich,5.07
1905,Munich,4.31
1906,Munich,4.48
1907,Munich,4.38
1908,Munich,3.98
1909,Munich,3.75
1910,Munich,4.47
1911,Munich,5.22
1912,Munich,4.13
1913,Munich,4.66
1914,Munich,4.43
1915,Munich,4.39
1916,Munich,4.90
1917,Munich,3.91
1918,Munich,4.75
1919,Munich,3.85
1920,Munich,5.29
1921,Munich,5.48
1922,Munich,3.93
1923,Munich,4.88
1924,Munich,4.11
1925,Munich,4.42
1926,Munich,5.11
1927,Munich,4.86
1928,Munich,5.19
1929,Munich,4.13
1930,Munich,5.24
1931,Munich,3.88
1932,Munich,4.61
1933,Munich,3.88
1934,Munich,5.59
1935,Munich,4.57
1936,Munich,4.88
1937,Munich,5.20
1938,Munich,4.82
1939,Munich,4.49
1940,Munich,3.45
1941,Munich,3.80
1942,Munich,4.28
1943,Munich,5.56
1944,Munich,4.28
1945,Munich,5.20
1946,Munich,5.14
1947,Munich,5.51
1948,Munich,5.49
1949,Munich,5.55
1950,Munich,5.44
1951,Munich,5.29
1952,Munich,4.67
1953,Munich,5.22
1954,Munich,4.27
1955,Munich,4.39
1956,Munich,3.58
1957,Munich,5.11
1958,Munich,4.93
1959,Munich,5.51
1960,Munich,4.97
1961,Munich,5.85
1962,Munich,3.94
1963,Munich,3.99
1964,Munich,4.92
1965,Munich,4.08
1966,Munich,5.10
1967,Munich,5.18
1968,Munich,4.68
1969,Munich,4.42
1970,Munich,4.41
1971,Munich,4.86
1972,Munich,4.69
1973,Munich,4.57
1974,Munich,5.23
1975,Munich,5.20
1976,Munich,4.95
1977,Munich,5.32
1978,Munich,4.32
1979,Munich,4.87
1980,Munich,4.19
1981,Munich,4.82
1982,Munich,5.51
1983,Munich,5.60
1984,Munich,4.43
1985,Munich,4.52
1986,Munich,4.85
1987,Munich,4.69
1988,Munich,5.64
1989,Munich,5.88
1990,Munich,5.92
1991,Munich,4.93
1992,Munich,5.91
1993,Munich,5.33
1994,Munich,6.64
1995,Munich,5.33
1996,Munich,4.49
1997,Munich,5.79
1998,Munich,5.66
1999,Munich,5.55
2000,Munich,6.33
2001,Munich,5.59
2002,Munich,6.26
2003,Munich,6.12
2004,Munich,5.43
2005,Munich,5.01
2006,Munich,5.94
2007,Munich,6.28
2008,Munich,5.94
2009,Munich,5.89
2010,Munich,4.85
2011,Munich,6.56
2012,Munich,5.88
2013,Munich,6.00
